id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
1548097259,11200,136.0,92.0,82.0,7.5,2.0,2.0,1,1,8.0,3.0,Departamento,1.0,-33.3932785,-70.5774314,Vitacura,Querétaro,O,0,0,0,1
2732119230,17490,150.0,275.0,116.0,158.0,3.0,4.0,2,1,6.0,6.0,Departamento,2.0,-33.3932628,-70.5796445,Vitacura,Chapultepec,SE,0,1,1,0
1533761523,21000,150.0,470.0,140.0,330.0,3.0,4.0,5,1,6.0,6.0,Departamento,6.0,-33.3975702,-70.5753186,Vitacura,Cardenal Belarmino,NSEO,1,1,1,1
1536666991,16900,82.0,224.0,206.0,18.0,5.0,5.0,2,1,2.0,4.0,Dúplex,26.0,-33.3897027,-70.5871513,Vitacura,Luis Carrera,O,0,0,0,1
2803401906,10500,132.0,121.0,79.0,42.0,2.0,2.0,2,1,1.0,1.0,Departamento,21.0,-33.3904242,-70.5873379,Vitacura,Luis Carrera,O,0,0,0,1
1588684845,14500,115.0,160.0,126.0,34.0,3.0,2.0,2,1,4.0,4.0,Departamento,29.0,-33.3915571,-70.5835131,Vitacura,Luis Carrera,NSEO,1,1,1,1
2849646914,13200,101.0,151.0,130.0,21.0,4.0,3.0,2,1,1.0,8.0,Departamento,16.0,-33.394485,-70.589628,Vitacura,Candelaria Goyenechea,SE,0,1,1,0
1571320205,17900,96.0,211.0,186.0,25.0,4.0,4.0,2,1,16.0,2.0,Departamento,24.0,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas,O,0,0,0,1
2824160304,14900,106.0,168.0,140.0,28.0,3.0,4.0,2,1,10.0,7.0,Departamento,13.0,-33.39599,-70.58862,Vitacura,Avenida Américo Vespucio Norte,SE,0,1,1,0
2723323828,15200,95.0,172.0,160.0,12.0,3.0,4.0,2,1,16.0,11.0,Departamento,22.0,-33.3968068,-70.586995,Vitacura,Espoz,SE,0,1,1,0
1591393577,17898,91.0,211.64,195.63,16.01,4.0,4.0,2,1,17.0,2.0,Departamento,24.0,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas,SE,0,1,1,0
2788741066,33200,118.0,316.0,280.0,36.0,4.0,4.0,2,1,12.0,10.0,Departamento,37.0,-33.3967798,-70.5866012,Vitacura,Bartolomé De Las Casas,NO,1,0,0,1
2749393880,13500,96.0,149.0,140.0,9.0,3.0,2.0,2,1,4.0,3.0,Departamento,31.0,-33.3909711,-70.5802701,Vitacura,Luis Pasteur,S,0,1,0,0
2770266440,24500,100.0,265.0,244.0,21.0,4.0,4.0,2,1,10.0,2.0,Departamento,12.0,-33.3957312,-70.587577,Vitacura,Doctora María Figueroa,N,1,0,0,0
2788753762,19900,90.0,270.0,220.0,50.0,3.0,3.0,3,2,5.0,4.0,Departamento,28.0,-33.39194,-70.58264,Vitacura,Luis Carrera,O,0,0,0,1
1580975755,15500,112.0,158.0,138.0,20.0,3.0,3.0,2,1,10.0,4.0,Departamento,13.0,-33.3958432,-70.5883533,Vitacura,Avenida Américo Vespucio Norte,O,0,0,0,1
2861731370,14000,87.0,172.0,160.0,12.0,3.0,3.0,2,1,17.0,12.0,Departamento,22.0,-33.3968068,-70.586995,Vitacura,Espoz,SE,0,1,1,0
2854516300,22000,89.0,278.0,246.0,32.0,3.0,5.0,3,1,2.0,1.0,Dúplex,9.0,-33.396452,-70.5880782,Vitacura,Avenida Américo Vespucio Norte,S,0,1,0,0
2829741452,14990,147.0,219.74,101.66,110.26,2.0,2.0,2,1,5.0,5.0,Dúplex,5.0,-33.393592,-70.5886796,Vitacura,Candelaria Goyenechea,SE,0,1,1,0
1584826291,31000,103.0,330.0,300.0,30.0,4.0,3.0,3,1,12.0,7.0,Departamento,37.0,-33.396967,-70.5873696,Vitacura,Espoz,N,1,0,0,0
2795812746,11880,99.0,119.0,119.0,0.0,4.0,3.0,1,1,10.0,9.0,Departamento,16.0,-33.3930571,-70.5894213,Vitacura,Ascencio De Zavala,SE,0,1,1,0
2850025910,16000,114.0,172.0,140.0,32.0,3.0,2.0,2,1,6.0,4.0,Departamento,46.0,-33.3918266,-70.5829954,Vitacura,Espoz,N,1,0,0,0
