id,monto,ppm2,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,latitud,longitud,comuna,calle
1548097259,11200,136.0,92.0,82.0,7.5,2,2,2,1,1,8,4,3,Departamento,O,1,-33.3932785,-70.5774314,Vitacura,Querétaro
2732119230,17490,150.0,275.0,116.0,158.0,,3,4,2,1,6,6,6,Departamento,SP,2,-33.3932628,-70.5796445,Vitacura,Chapultepec
1533761523,21000,150.0,470.0,140.0,330.0,,3,4,5,1,6,2,6,Departamento,NOSP,6,-33.3975702,-70.5753186,Vitacura,Cardenal Belarmino
1592811585,12000,85.0,170.0,140.0,30.0,,3,3,3,1,,,12,Departamento,NP,0,-33.3986019,-70.5750561,Vitacura,Cardenal Belarmino
1536666991,16900,82.0,224.0,206.0,18.0,5,5,5,2,1,2,3,4,Dúplex,P,26,-33.3897027,-70.5871513,Vitacura,Luis Carrera
2803401906,10500,132.0,121.0,79.0,42.0,2,2,2,2,1,1,4,1,Departamento,P,21,-33.3904242,-70.5873379,Vitacura,Luis Carrera
1543740023,23900,108.0,240.0,220.0,20.0,,3,4,2,1,2,3,2,Dúplex,,30,-33.3924401,-70.5842758,Vitacura,La Perouse
1521489447,15950,115.0,158.0,138.0,20.0,,3,4,2,1,,2,4,Departamento,N,13,-33.39599,-70.58862,Vitacura,Avenida Américo Vespucio Norte
1588684845,14500,115.0,160.0,126.0,34.0,3,3,2,2,1,4,3,4,Departamento,NOSP,29,-33.3915571,-70.5835131,Vitacura,Luis Carrera
2849646914,13200,101.0,151.0,130.0,21.0,,4,3,2,1,1,6,8,Departamento,SP,16,-33.394485,-70.589628,Vitacura,Candelaria Goyenechea
1518864795,14950,87.0,210.0,170.0,40.0,7,3,2,2,1,12,2,,Departamento,,29,-33.3925193,-70.5810895,Vitacura,Avenida Luis Pasteur
1571320205,17900,96.0,211.0,186.0,25.0,,4,4,2,1,16,2,2,Departamento,O,24,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas
2864600050,17100,122.0,155.0,140.0,15.0,,4,3,1,1,4,2,2,Departamento,,45,-33.3983705,-70.5873337,Vitacura,Avenida Vitacura
2800148714,16000,72.0,260.0,220.0,40.0,,4,,,,,,,,,,-33.3892974,-70.5787819,Vitacura,Luis Pasteur
1541765745,19900,90.0,270.0,220.0,50.0,,4,4,2,1,7,2,1,Departamento,,27,-33.3921899,-70.5830837,Vitacura,Espoz
2824160304,14900,106.0,168.0,140.0,28.0,4,3,4,2,1,10,3,7,Departamento,SP,13,-33.39599,-70.58862,Vitacura,Avenida Américo Vespucio Norte
2723323828,15200,95.0,172.0,160.0,12.0,,3,4,2,1,16,2,11,Departamento,SP,22,-33.3968068,-70.586995,Vitacura,Espoz
2794820112,10500,110.0,110.0,95.0,14.0,2,2,3,2,1,,4,5,Departamento,SP,10,-33.3969154,-70.5860651,Vitacura,Bartolomé De Las Casas
1591393577,17898,91.0,211.64,195.63,16.01,,4,4,2,1,17,2,2,Departamento,SO,24,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas
2788741066,33200,118.0,316.0,280.0,36.0,3,4,4,2,1,12,2,10,Departamento,NP,37,-33.3967798,-70.5866012,Vitacura,Bartolomé De Las Casas
1554010037,28600,84.0,340.0,340.0,,,3,3,2,1,,1,11,Tradicional,NorOriente-Sur,35,-33.3965548,-70.5867046,Vitacura,Espoz
2744440646,24720,96.0,286.0,257.0,29.0,5,,,,,,,,,,,-33.3949249,-70.5881679,Vitacura,Doctora María Figueroa
1552432745,13600,97.0,167.0,140.0,27.0,,4,3,1,1,1,1,1,Departamento,,53,-33.3969695,-70.5884671,Vitacura,Avenida Américo Vespucio Norte
2807445730,30663,230.0,293.0,133.0,160.0,,2,,,,,,,,,,-33.3937643,-70.589185,Vitacura,Candelaria Goyenechea
2749393880,13500,96.0,149.0,140.0,9.0,3,3,2,2,1,4,4,3,Departamento,S,31,-33.3909711,-70.5802701,Vitacura,Luis Pasteur
2770266440,24500,100.0,265.0,244.0,21.0,4,4,4,2,1,10,3,2,Departamento,N,12,-33.3957312,-70.587577,Vitacura,Doctora María Figueroa
2788753762,19900,90.0,270.0,220.0,50.0,3,3,3,3,2,5,2,4,Departamento,O,28,-33.39194,-70.58264,Vitacura,Luis Carrera
1580975755,15500,112.0,158.0,138.0,20.0,3,3,3,2,1,10,3,4,Departamento,O,13,-33.3958432,-70.5883533,Vitacura,Avenida Américo Vespucio Norte
1578215951,22030,155.0,164.0,142.0,20.0,4,4,3,,,1,,,,,1,-33.3933613,-70.5895969,Vitacura,Candelaria Goyenechea
1578215949,13720,149.0,113.0,92.0,21.0,2,,,,,,,,,,,-33.3935763,-70.5897256,Vitacura,Candelaria Goyenechea
1578371639,15240,149.0,125.0,102.0,23.0,3,3,2,,,1,,,,SP,1,-33.3935405,-70.5897685,Vitacura,Candelaria Goyenechea
1568024791,21900,87.0,290.0,250.0,40.0,6,5,4,3,1,2,,,Semi piso,NP,0,-33.3963206,-70.5887997,Vitacura,Avenida Américo Vespucio Norte
2849290726,14300,102.0,163.5,140.0,23.5,5,4,4,2,,1,2,2,Semi piso,,0,-33.3965364,-70.5884483,Vitacura,Avenida Américo Vespucio Norte
1585279701,8600,132.0,72.0,65.0,7.0,1,1,2,1,,,3,,Semi piso,,5,-33.3930456,-70.5893662,Vitacura,Ascencio De Zavala
1558546103,22900,76.0,325.0,300.0,25.0,6,,,,,,,,,,,-33.3956596,-70.5878818,Vitacura,Doctora María Figueroa
1587963169,19900,90.0,270.0,220.0,50.0,4,3,4,2,1,,,4,Departamento,,0,-33.3923333,-70.5826636,Vitacura,Espoz
2805547996,17900,89.0,215.0,200.0,15.0,4,3,3,2,1,,2,1,Departamento,SO,16,-33.3966879,-70.5861971,Vitacura,Bartolomé De Las Casas
2784093412,16500,97.0,185.0,170.0,15.0,3,3,3,2,1,,3,7,Semi piso,,,-33.3963223,-70.5886078,Vitacura,Avenida Américo Vespucio Norte
1568008885,17800,82.0,222.0,216.0,6.0,5,3,4,2,2,1,2,2,Departamento,,26,-33.3919411,-70.5819576,Vitacura,Luis Carrera
2861119986,14990,148.0,220.0,101.0,,,2,3,2,1,5,,,Tríplex,,1,-33.393592,-70.5886796,Vitacura,Candelaria Goyenechea
2861731370,14000,87.0,172.0,160.0,12.0,,3,3,2,1,17,2,12,Departamento,SP,22,-33.3968068,-70.586995,Vitacura,Espoz
2853345340,23900,108.0,240.0,220.0,20.0,,3,,,,,,,,,,-33.3924401,-70.5842758,Vitacura,La Perouse
1583875643,13500,96.0,150.0,140.0,10.0,3,4,4,2,1,4,2,3,Departamento,,31,-33.3892708,-70.5791427,Vitacura,Jacques Cazotte
2854516300,22000,89.0,278.0,246.0,32.0,,3,5,3,1,2,3,1,Dúplex,S,9,-33.396452,-70.5880782,Vitacura,Avenida Américo Vespucio Norte
2778333770,22500,59.0,512.0,380.0,132.0,,4,4,3,1,,3,2,Departamento,SP,11,-33.396452,-70.5880782,Vitacura,Avenida Américo Vespucio Norte
