id,monto,superficie_t,dormitorios,dormitorios_faltante,banos,banos_faltante,antiguedad,antiguedad_faltante,Or_N,Or_S,Or_E,Or_O,Or_Faltante,terraza,estacionamiento,bodegas,flag_Departamento,flag_Multinivel,flag_Semipiso,flag_Premium,flag_Monoambiente,flag_Loft,latitud,longitud,comuna,calle
1548097259,11200,92.0,2,0,2,0,1,0,0,0,0,1,0,7.5,1,1,1,0,0,0,0,0,-33.3932785,-70.5774314,Vitacura,Querétaro
2732119230,17490,275.0,3,0,4,0,2,0,0,1,1,0,0,158.0,2,1,1,0,0,0,0,0,-33.3932628,-70.5796445,Vitacura,Chapultepec
1533761523,21000,470.0,3,0,4,0,6,0,1,1,1,1,0,330.0,5,1,1,0,0,0,0,0,-33.3975702,-70.5753186,Vitacura,Cardenal Belarmino
1592811585,12000,170.0,3,0,3,0,0,0,1,0,0,1,0,30.0,3,1,1,0,0,0,0,0,-33.3986019,-70.5750561,Vitacura,Cardenal Belarmino
1536666991,16900,224.0,5,0,5,0,26,0,0,0,0,1,0,18.0,2,1,0,1,0,0,0,0,-33.3897027,-70.5871513,Vitacura,Luis Carrera
2803401906,10500,121.0,2,0,2,0,21,0,0,0,0,1,0,42.0,2,1,1,0,0,0,0,0,-33.3904242,-70.5873379,Vitacura,Luis Carrera
1543740023,23900,240.0,3,0,4,0,30,0,0,0,0,0,1,20.0,2,1,0,1,0,0,0,0,-33.3924401,-70.5842758,Vitacura,La Perouse
1521489447,15950,158.0,3,0,4,0,13,0,1,0,0,0,0,20.0,2,1,1,0,0,0,0,0,-33.39599,-70.58862,Vitacura,Avenida Américo Vespucio Norte
1588684845,14500,160.0,3,0,2,0,29,0,1,1,1,1,0,34.0,2,1,1,0,0,0,0,0,-33.3915571,-70.5835131,Vitacura,Luis Carrera
2849646914,13200,151.0,4,0,3,0,16,0,0,1,1,0,0,21.0,2,1,1,0,0,0,0,0,-33.394485,-70.589628,Vitacura,Candelaria Goyenechea
1518864795,14950,210.0,3,0,2,0,29,0,0,0,0,0,1,40.0,2,1,1,0,0,0,0,0,-33.3925193,-70.5810895,Vitacura,Avenida Luis Pasteur
1571320205,17900,211.0,4,0,4,0,24,0,0,0,0,1,0,25.0,2,1,1,0,0,0,0,0,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas
2864600050,17100,155.0,4,0,3,0,45,0,0,0,0,0,1,15.0,1,1,1,0,0,0,0,0,-33.3983705,-70.5873337,Vitacura,Avenida Vitacura
2800148714,16000,260.0,4,0,2,1,9,1,0,0,0,0,1,40.0,0,0,1,0,0,0,0,0,-33.3892974,-70.5787819,Vitacura,Luis Pasteur
1541765745,19900,270.0,4,0,4,0,27,0,0,0,0,0,1,50.0,2,1,1,0,0,0,0,0,-33.3921899,-70.5830837,Vitacura,Espoz
2824160304,14900,168.0,3,0,4,0,13,0,0,1,1,0,0,28.0,2,1,1,0,0,0,0,0,-33.39599,-70.58862,Vitacura,Avenida Américo Vespucio Norte
2723323828,15200,172.0,3,0,4,0,22,0,0,1,1,0,0,12.0,2,1,1,0,0,0,0,0,-33.3968068,-70.586995,Vitacura,Espoz
2794820112,10500,110.0,2,0,3,0,10,0,0,1,1,0,0,14.0,2,1,1,0,0,0,0,0,-33.3969154,-70.5860651,Vitacura,Bartolomé De Las Casas
1591393577,17898,211.64,4,0,4,0,24,0,0,1,1,0,0,16.01,2,1,1,0,0,0,0,0,-33.3966841,-70.5862495,Vitacura,Bartolomé De Las Casas
2788741066,33200,316.0,4,0,4,0,37,0,1,0,0,1,0,36.0,2,1,1,0,0,0,0,0,-33.3967798,-70.5866012,Vitacura,Bartolomé De Las Casas
1554010037,28600,340.0,3,0,3,0,35,0,1,1,1,0,0,0.0,2,1,1,0,0,0,0,0,-33.3965548,-70.5867046,Vitacura,Espoz
2744440646,24720,286.0,2,1,2,1,9,1,0,0,0,0,1,29.0,0,0,1,0,0,0,0,0,-33.3949249,-70.5881679,Vitacura,Doctora María Figueroa
1552432745,13600,167.0,4,0,3,0,53,0,0,0,0,0,1,27.0,1,1,1,0,0,0,0,0,-33.3969695,-70.5884671,Vitacura,Avenida Américo Vespucio Norte
2807445730,30663,293.0,2,0,2,1,9,1,0,0,0,0,1,160.0,0,0,1,0,0,0,0,0,-33.3937643,-70.589185,Vitacura,Candelaria Goyenechea
2749393880,13500,149.0,3,0,2,0,31,0,0,1,0,0,0,9.0,2,1,1,0,0,0,0,0,-33.3909711,-70.5802701,Vitacura,Luis Pasteur
2770266440,24500,265.0,4,0,4,0,12,0,1,0,0,0,0,21.0,2,1,1,0,0,0,0,0,-33.3957312,-70.587577,Vitacura,Doctora María Figueroa
2788753762,19900,270.0,3,0,3,0,28,0,0,0,0,1,0,50.0,3,2,1,0,0,0,0,0,-33.39194,-70.58264,Vitacura,Luis Carrera
1580975755,15500,158.0,3,0,3,0,13,0,0,0,0,1,0,20.0,2,1,1,0,0,0,0,0,-33.3958432,-70.5883533,Vitacura,Avenida Américo Vespucio Norte
1578215951,22030,164.0,4,0,3,0,1,0,0,0,0,0,1,20.0,0,0,1,0,0,0,0,0,-33.3933613,-70.5895969,Vitacura,Candelaria Goyenechea
1578215949,13720,113.0,2,1,2,1,9,1,0,0,0,0,1,21.0,0,0,1,0,0,0,0,0,-33.3935763,-70.5897256,Vitacura,Candelaria Goyenechea
1578371639,15240,125.0,3,0,2,0,1,0,0,1,1,0,0,23.0,0,0,1,0,0,0,0,0,-33.3935405,-70.5897685,Vitacura,Candelaria Goyenechea
1568024791,21900,290.0,5,0,4,0,0,0,1,0,0,1,0,40.0,3,1,0,0,1,0,0,0,-33.3963206,-70.5887997,Vitacura,Avenida Américo Vespucio Norte
2849290726,14300,163.5,4,0,4,0,0,0,0,0,0,0,1,23.5,2,0,0,0,1,0,0,0,-33.3965364,-70.5884483,Vitacura,Avenida Américo Vespucio Norte
1585279701,8600,72.0,1,0,2,0,5,0,0,0,0,0,1,7.0,1,0,0,0,1,0,0,0,-33.3930456,-70.5893662,Vitacura,Ascencio De Zavala
1558546103,22900,325.0,2,1,2,1,9,1,0,0,0,0,1,25.0,0,0,1,0,0,0,0,0,-33.3956596,-70.5878818,Vitacura,Doctora María Figueroa
1587963169,19900,270.0,3,0,4,0,0,0,0,0,0,0,1,50.0,2,1,1,0,0,0,0,0,-33.3923333,-70.5826636,Vitacura,Espoz
2805547996,17900,215.0,3,0,3,0,16,0,0,1,1,0,0,15.0,2,1,1,0,0,0,0,0,-33.3966879,-70.5861971,Vitacura,Bartolomé De Las Casas
2784093412,16500,185.0,3,0,3,0,9,1,0,0,0,0,1,15.0,2,1,0,0,1,0,0,0,-33.3963223,-70.5886078,Vitacura,Avenida Américo Vespucio Norte
1568008885,17800,222.0,3,0,4,0,26,0,0,0,0,0,1,6.0,2,2,1,0,0,0,0,0,-33.3919411,-70.5819576,Vitacura,Luis Carrera
