longitude,latitude,type,class,name,cat,poi_id
-70.56675598025322,-33.41169057656563,Sports Centre,sport_and_leisure,Pacific Fitness,2,0
-70.56842297315598,-33.41128868677575,Hospital,medical,Cirujias Plasticas Acqua,2,1
-70.56645691394806,-33.412216724733106,Clinic,medical,Clínica CELA Manquehue,3,2
-70.56849807500839,-33.4110804645934,Hospital,medical,NovaVida,2,3
-70.56872874498367,-33.411112929375115,Kindergarten,education_prim,Sol del Inca,1,4
-70.56675598025322,-33.41106143350883,Clinic,medical,Integramédica Centro de Exámenes,3,5
-70.56826069951057,-33.41080283424046,Veterinary,veterinary,Pet Beauty,2,6
-70.56678280234337,-33.410945007959484,Supermarket,food_and_drink_stores,Santa Isabel,2,7
-70.5694180727005,-33.41288504025663,Arts Centre,arts_and_entertainment,La Dante,3,8
-70.56689947843552,-33.41053863679023,Cafe,food_and_drink,Juan Valdéz,1,9
-70.56567370891571,-33.41273951135114,Restaurant,food_and_drink,Gaon,1,10
-70.56614845991135,-33.41090246781597,Dentist,medical,Uno Dental,1,11
-70.56761562824249,-33.41020838884735,Fast Food,food_and_drink,Subway,1,12
-70.56786507368088,-33.41019719397982,Fast Food,food_and_drink,Fritz,1,13
-70.56989550590515,-33.41312124434569,Playground,park_like,NoName,1,14
-70.56835189461708,-33.414162325803005,Kindergarten,education_prim,Querubines,1,15
-70.56767463684082,-33.41011771037892,Fast Food,food_and_drink,Pizza Hut,1,16
-70.56786775588989,-33.41009532061905,Fast Food,food_and_drink,KFC,1,17
-70.56796431541443,-33.4100236733487,Fast Food,food_and_drink,Burger King,1,18
-70.57586878538132,-33.45386522665722,Park,park_like,Plaza Los Guindos,1,19
-70.57653933763504,-33.45326436255505,Cafe,food_and_drink,Cafe del Barrio,1,20
-70.57592377066612,-33.45347919712563,Police,security,18 Comisaría Ñuñoa,3,21
-70.57619199156761,-33.45450077298302,Restaurant,food_and_drink,Happy Everybody,1,22
-70.57640790939331,-33.45301372155004,Cafe,food_and_drink,El Vecino,1,23
-70.5765500664711,-33.45301148368066,Restaurant,food_and_drink,Ajiaco,1,24
-70.57558313012123,-33.453484791768794,Police,security,Prefectura Santiago Oriente,3,25
-70.57549998164177,-33.454368740855,Bakery,food_and_drink_stores,Pasteleria,1,26
-70.57769536972046,-33.4541785247239,Convenience,food_and_drink_stores,Rioli,1,27
-70.5764240026474,-33.452579573809345,Restaurant,food_and_drink,Grido Hamburgo Ñuñoa,1,28
-70.57484284043312,-33.453730955710704,Supermarket,food_and_drink_stores,Lider Express,2,29
-70.57486429810524,-33.4541539084882,Convenience,food_and_drink_stores,Punto Copec,1,30
-70.57623356580734,-33.4552045679684,Clinic,medical,Clínica Oriente,3,31
-70.57524785399437,-33.4525907632114,School,education_prim,Colegio Manquecura Ñuñoa,1,32
-70.57846248149872,-33.4541785247239,Place Of Worship,religion,Iglesia Metodista San Pablo,1,33
