X,Y,FID,objectid,id,especial,estacion,nombre,temporal,f1,tipo,linea,longitud,latitud
-7872880.46633236,-3954412.20735521,1,1,1,EXISTENTE INTERMODAL,EXISTENTE,SAN PABLO,INTERMODAL,1,ESTACION METRO,Linea 1,-70.72328852952384,-33.444189549309556
-7872796.96826081,-3955445.23477656,2,2,2,EXISTENTE,EXISTENTE,NEPTUNO,,1,ESTACION METRO,Linea 1,-70.72253845358516,-33.451932518829146
-7871780.01446286,-3956231.61257904,3,3,3,EXISTENTE INTERMODAL,EXISTENTE,PAJARITOS,INTERMODAL,1,ESTACION METRO,Linea 1,-70.71340300218576,-33.45782628363531
-7871008.74691148,-3956153.13897488,4,4,4,EXISTENTE,EXISTENTE,LAS REJAS,,1,ESTACION METRO,Linea 1,-70.70647458789024,-33.457238155619315
-7868069.78774778,-3953899.19874489,5,5,5,CONSTRUCCION INTERMODAL,CONSTRUCCION,QUINTA NORMAL,INTERMODAL,1,ESTACION METRO,Linea 5,-70.68007346852869,-33.44034407987422
-7865797.9068326,-3953636.61575053,6,6,6,EXISTENTE,EXISTENTE,SANTA ANA,,1,ESTACION METRO,Linea 5,-70.65966481503064,-33.43837571386234
-7866335.61640202,-3953690.43805978,7,7,7,EXSTENTE,EXSTENTE,RICARDO CUMMING,,1,ESTACION METRO,Linea 5,-70.6644951422769,-33.438779178526424
-7870405.33415559,-3956013.19498812,8,8,8,EXISTENTE,EXISTENTE,ECUADOR,,1,ESTACION METRO,Linea 1,-70.70105403887776,-33.45618932197505
-7869429.87012415,-3955755.22550335,9,9,9,EXISTENTE,EXISTENTE,PILA DEL GANSO,,1,ESTACION METRO,Linea 1,-70.69229129639224,-33.45425589322241
-7868760.29613301,-3955534.85223405,10,10,10,EXISTENTE,EXISTENTE,UNIVERSIDAD DE SANTIAGO,,1,ESTACION METRO,Linea 1,-70.68627641089134,-33.45260420630497
-7868057.73840082,-3955306.72724089,11,11,11,EXISTENTE,EXISTENTE,ESTACION CENTRAL,,1,ESTACION METRO,Linea 1,-70.67996522740331,-33.45089438745665
-7865884.72851647,-3954691.28609736,12,12,12,EXISTENTE,EXISTENTE,LOS HEROES,,1,ESTACION METRO,Linea 1,-70.66044474748676,-33.44628142852252
-7866307.7542244,-3954773.27093873,13,13,13,EXISTENTE,EXISTENTE,REPUBLICA,,1,ESTACION METRO,Linea 1,-70.66424485207686,-33.44689594938742
-7867434.42542187,-3955140.93977482,14,14,14,EXISTENTE,EXISTENTE,UNION LATINOAMERICANA,,1,ESTACION METRO,Linea 1,-70.67436591164551,-33.44965177324104
-7864806.39906413,-3953531.26446661,15,15,15,CONSTRUCCION INTERMODAL,EXISTENTE,PLAZA DE ARMAS,INTERMODAL,1,ESTACION METRO,Linea 5,-70.65075794920324,-33.43758597047837
-7863973.30527797,-3953359.53757947,16,16,16,EXISTENTE,EXISTENTE,BELLAS ARTES,,1,ESTACION METRO,Linea 5,-70.64327414039111,-33.43629864116311
-7862861.68342831,-3953494.37179499,17,17,17,EXISTENTE,EXISTENTE,BAQUEDANO,,1,ESTACION METRO,Linea 1,-70.633288271414,-33.43730941075104
-7865365.5655213,-3954553.03585283,18,18,18,EXISTENTE,EXISTENTE,MONEDA,,1,ESTACION METRO,Linea 1,-70.65578102695167,-33.44524515807489
-7864913.72298096,-3954426.35502147,19,19,19,CONSTRUCCION INTERMODAL,EXISTENTE,UNIVERSIDAD DE CHILE,INTERMODAL,1,ESTACION METRO,Linea 1,-70.65172205635164,-33.4442955966118
-7864327.82903938,-3954251.53685811,20,20,20,EXISTENTE,EXISTENTE,SANTA LUCIA,,1,ESTACION METRO,Linea 1,-70.6464588815257,-33.44298519509696
-7863723.44868136,-3953959.85310666,21,21,21,EXISTENTE,EXISTENTE,UNIVERSIDAD CATOLICA,,1,ESTACION METRO,Linea 1,-70.64102964039539,-33.4407987487585
-7865081.89193225,-3952929.37000306,22,22,22,EXISTENTE INTERMODAL,EXISTENTE,CAL Y CANTO,INTERMODAL,1,ESTACION METRO,Linea 2,-70.65323274374421,-33.43307385942894
-7865651.68614883,-3955675.09521993,23,23,23,EXISTENTE,EXISTENTE,TOESCA,,1,ESTACION METRO,Linea 2,-70.65835129227979,-33.45365532429172
-7865437.45643952,-3956579.73446973,24,24,24,EXISTENTE,EXISTENTE,PARQUE O'HIGGINS,,1,ESTACION METRO,Linea 2,-70.65642683405792,-33.46043526870994
-7864632.16231373,-3958720.58125342,25,25,25,CONSTRUCCION INTERMODAL,EXISTENTE,FRANKLIN,INTERMODAL,1,ESTACION METRO,Linea 2,-70.64919275384385,-33.47647803000302
-7864691.31420523,-3959453.43444662,26,26,26,EXISTENTE,EXISTENTE,EL LLANO,,1,ESTACION METRO,Linea 2,-70.64972412432604,-33.48196909465933
-7864810.52150922,-3960380.99506716,27,27,27,EXISTENTE,EXISTENTE,SAN MIGUEL,,1,ESTACION METRO,Linea 2,-70.65079498175756,-33.48891854873103
-7865036.73855223,-3961392.76151068,28,28,28,EXISTENTE,EXISTENTE,LO VIAL,,1,ESTACION METRO,Linea 2,-70.65282712403021,-33.49649825239133
-7865273.70021403,-3962318.58504072,29,29,29,EXISTENTE,EXISTENTE,DEPARTAMENTAL,,1,ESTACION METRO,Linea 2,-70.65495578685567,-33.50343352862426
-7865509.95271396,-3963421.37092196,30,30,30,EXISTENTE,EXISTENTE,CIUDAD DEL NINO,,1,ESTACION METRO,Linea 2,-70.65707807917164,-33.5116936917353
