longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.56675598025322,-33.41169057656563,Sports Centre,4,Sports Complex,15,marker,sport_and_leisure,Pacific Fitness
-70.56653872132301,-33.411909991933555,Yes,5,,16,marker,general,Automóvil Club de Chile
-70.56842297315598,-33.41128868677575,Hospital,2,Hospital,16,hospital,medical,Cirujias Plasticas Acqua
-70.56645691394806,-33.412216724733106,Clinic,5,Clinic,16,doctor,medical,Clínica CELA Manquehue
-70.56637644767761,-33.412593982201805,Yes,5,Shop,16,marker,store_like,Multimarket
-70.56849807500839,-33.4110804645934,Hospital,1,Hospital,16,hospital,medical,NovaVida
-70.56814536452293,-33.410892392515784,Driving School,5,Driving School,16,marker,commercial_services,Escuela de Conductores San Cristóbal
-70.56872874498367,-33.411112929375115,Kindergarten,3,Kindergarten,15,school,education,Sol del Inca
-70.56675598025322,-33.41106143350883,Clinic,5,Clinic,16,doctor,medical,Integramédica Centro de Exámenes
-70.56826069951057,-33.41080283424046,Veterinary,5,Veterinary Office,16,veterinary,commercial_services,Pet Beauty
-70.56916058063507,-33.41133682409095,Beauty,4,Shop,16,marker,store_like,Via Principessa
-70.5670228600502,-33.41084089651875,Mall,5,Mall,14,shop,store_like,
-70.56678280234337,-33.410945007959484,Supermarket,1,Supermarket,16,grocery,food_and_drink_stores,Santa Isabel
-70.56819766759872,-33.410718873273474,Hairdresser,5,Shop,16,marker,store_like,Sall Hair
-70.5694180727005,-33.41288504025663,Arts Centre,3,Arts Center,16,art-gallery,arts_and_entertainment,La Dante
-70.56598484516144,-33.41288504025663,Bicycle Rental,5,Bicycle Rental,16,bicycle,commercial_services,Bikesantiago
-70.56579172611237,-33.412105898043656,Car Rental,4,Car Rental,16,car-rental,commercial_services,West
-70.56577429175377,-33.412394718817175,Paint,5,Shop,16,marker,store_like,Sherwin-Williams
-70.56584134697914,-33.41171632431608,Car Rental,4,Car Rental,15,car-rental,commercial_services,Econorent
-70.56587487459183,-33.41157751026679,Musical Instrument,3,Shop,15,marker,store_like,Yamaha
-70.56698262691498,-33.410590132966455,Variety Store,5,Variety Store,16,shop,store_like,Doremi
-70.56607872247696,-33.411186814695135,Yes,5,Shop,16,marker,store_like,Sex City
-70.56573405861855,-33.412553681778874,Yes,5,Shop,16,marker,store_like,Scholl
