link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2835365654,Hermoso Departamento En Venta De 3 Dorm. En Conchalí,2025-04-04,Publicado hace 2 meses,UF,2.055,31 UF/m²,49 UF/m²,67 m²,65 m²,2 m²,,3,1,"Av Dorsal 1395, General Gambino, Conchalí, RM (Metropolitana)",,,5,8,,Loft,N,11 años,,-33.3959809%2C-70.6612031
https://portalinmobiliario.com/MLC-1590966831,Pontevedra/m. Alonso Pinzon C_706371,2025-04-04,Publicado hace 9 días,UF,7.990,64 UF/m²,91 UF/m²,130 m²,124 m²,,5,3,2,"Rotonda Atenas, Las Condes, RM (Metropolitana)",1,,13,,,,O,,,-33.4197077%2C-70.5580276
https://portalinmobiliario.com/MLC-2819204704,Departamento En Venta De 3 Dorm. En Vitacura,2025-04-04,,UF,14.157,116 UF/m²,103 UF/m²,164 m²,122 m²,42 m²,,3,3,"Vitacura/ Mar Jónico/ Estadio Croata, Estadio Croata, Vitacura, RM (Metropolitana)",,,8,,2,Departamento,O,0 años,,-33.3856621%2C-70.5617444
https://portalinmobiliario.com/MLC-2843360176,Luminoso Departamento En Emblemático Edificio Lircay,2025-04-04,Publicado hace 52 días,$,85.000.000,,,90 m²,90 m²,,3,3,2,"Edificio Lircay, Centro de Talca, Talca, Maule",,1,1,1,,Semi piso,,0 años,,-35.4280217%2C-71.6537536
https://portalinmobiliario.com/MLC-1587775369,Departamento Teatinos/rosas,2025-04-04,,$,101.297.622,48 UF/m²,55 UF/m²,55 m²,53 m²,2 m²,2,2,2,"Teatinos/rosas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",,,26,,15,Departamento,O,13 años,,-33.4357878%2C-70.655986
https://portalinmobiliario.com/MLC-1589050681,Departamento En Venta De 2 Dorm. En Talcahuano,2025-04-04,,$,119.000.000,0 UF/m²,62 UF/m²,63 m²,,,,2,2,"Brisas Del Sol, Talcahuano, Brisas del Sol, Talcahuano, Biobío",1,1,,,,Departamento,,13 años,,-36.7726143%2C-73.0759816
https://portalinmobiliario.com/MLC-2864386736,"Departamento En Venta De 2 Dorm., Metro Toesca, Santiago",2025-04-04,Publicado hace 4 días,UF,2.390,54 UF/m²,68 UF/m²,44 m²,44 m²,,4,2,2,"Metro Toesca, Ejército - Toesca, Santiago, RM (Metropolitana)",45,,9,7,,Departamento,N,17 años,,-33.454403%2C-70.6601939
https://portalinmobiliario.com/MLC-2848406910,Departamento En Venta De 1 Dorm. General Mackenna 1260,2025-04-04,Publicado hace 42 días,$,70.000.000,48 UF/m²,63 UF/m²,39 m²,37 m²,2 m²,,1,1,"General Mackenna 1260, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",,,,,17,Departamento,N,0 años,,-33.4335253%2C-70.6553944
https://portalinmobiliario.com/MLC-1539400901,"Metro Ecuador, Venta Departamento 1 Ambiente, Conde Maule.  ",2025-04-04,,UF,1.250,44 UF/m²,59 UF/m²,28 m²,28 m²,,,1,1,"Conde Del Maule 4500 - 4800, Metro Ecuador, Estación Central, RM (Metropolitana)",,,23,9,4,Departamento,O,6 años,,-33.4550141%2C-70.700608
https://portalinmobiliario.com/MLC-1584693305,Departamento En Venta De 2 Dorm. En Macul,2025-04-04,,UF,2.800,60 UF/m²,87 UF/m²,51 m²,46 m²,5 m²,,2,2,"Los Olmos, Las Dalias, Macul, RM (Metropolitana)",,,25,8,23,Departamento,N,4 años,,-33.4803475%2C-70.5991585
