link,nombre,fecha_consultado,fecha_publicado,divisa,monto,ppm2,ppm2_avg,superficie_t,superficie_u,terraza,ambientes,dormitorios,banos,ubicacion,estacionamiento,bodegas,cantidad_pisos,dep_por_piso,piso,tipo_depto,orientacion,antiguedad,gastos_comunes,coordenadas
https://portalinmobiliario.com/MLC-2859257598-departamento-en-venta-de-1-dorm-en-san-miguel-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=cceb6dba-47e0-4485-a45d-03e70fa17b63,Departamento En Venta De 1 Dorm. En San Miguel,2025-05-12,Publicado hace 55 días,UF,2.550,82 UF/m²,69 UF/m²,35 m²,31 m²,4 m²,,1,1,"Segunda Avenida / Tercera Transversal, Ciudad del Niño, San Miguel, RM (Metropolitana)",1,1,17,7,17,Departamento,N,8 años,,-33.5040711%2C-70.659998
https://portalinmobiliario.com/MLC-2860872146-depto-como-nuevo-3d-metro-las-torres-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=da375101-20da-480c-a7c6-2fb838721f82,"Depto. Como Nuevo 3d, Metro Las Torres.",2025-05-12,Publicado hace 52 días,UF,3.650,54 UF/m²,59 UF/m²,72 m²,67 m²,5 m²,,3,2,"Av. Américo Vespucio 4200 - 4500, Macul, Chile, Metro Las Torres, Macul, RM (Metropolitana)",1,,18,10,2,Departamento,SO,5 años,,-33.4966777%2C-70.5855593
https://portalinmobiliario.com/MLC-1590534715-uf-3800-venta-dptosanta-isabelfray-camilo-henriquez-_JM#polycard_client=search-nordic&position=8&search_layout=gallery&type=item&tracking_id=a4b4aea2-ef23-4280-a1e0-13f7548c4f73,"Uf 3.800 Venta Dpto,santa Isabel/fray Camilo Henríquez.",2025-05-12,Publicado hace 48 días,UF,3.800,66 UF/m²,68 UF/m²,57 m²,57 m²,4 m²,,2,2,"Av. Sta. Isabel 199, Santiago, Santa Isabel, Santiago, RM (Metropolitana)",,1,,,,,,,,-33.4478017%2C-70.6343378
https://portalinmobiliario.com/MLC-2860935956-conjunto-duplo-vista-bellaovalle-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=56e9e59d-d995-4bfc-934b-f01607027e67,"Conjunto Duplo Vista Bella,ovalle",2025-05-12,Publicado hace 52 días,$,46.000.000,,,51 m²,49 m²,,2,2,,Verifica que el inmueble exista y desconfía si te dicen que necesitan vender o arrendar con urgencia.,,,,,,,,,,-30.5891123%2C-71.1748975
https://portalinmobiliario.com/MLC-1584809261-gran-vista-cercano-a-metro-h-de-aguirre-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=00a7558e-bbbb-48b5-9632-0881ddb1391f,Gran Vista Cercano A Metro H. De Aguirre,2025-05-12,Publicado hace 2 meses,UF,5.570,163 UF/m²,144 UF/m²,"42,84 m²","34,1 m²","8,7 m²",,1,1,"Las Trinitarias 6900 - 7200, Las Condes, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",1,1,9,12,6,Departamento,NP,1 años,,-33.404362%2C-70.5587992
https://portalinmobiliario.com/MLC-1583321741-luminoso-departamento-a-pasos-plaza-brasil-metro-santa-ana-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=412e6b12-a3ca-4626-bbec-099593d85981,Luminoso Departamento A Pasos Plaza Brasil Metro Santa Ana,2025-05-12,Publicado hace 4 meses,UF,1.900,54 UF/m²,67 UF/m²,38 m²,35 m²,3 m²,,1,,Verifica que el inmueble exista y desconfía si te dicen que necesitan vender o arrendar con urgencia.,,,,,,,,,,-33.4397473%2C-70.664012
https://portalinmobiliario.com/MLC-2830671238-departamento-en-venta-de-3-dorm-en-las-condes-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=af86aa87-22ce-4766-8bdb-52089c862f00,Departamento En Venta De 3 Dorm. En Las Condes,2025-05-12,,UF,13.600,77 UF/m²,87 UF/m²,196 m²,176 m²,20 m²,,3,3,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",2,1,,2,,Departamento,NOSP,0 años,,-33.412863%2C-70.5959857
https://portalinmobiliario.com/MLC-2839479068-depto-amplio-2-dormitorios-2-banos-living-comedor-cocina-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=6affea70-a8aa-4484-acf2-beed7289e246,"Depto Amplio, 2 Dormitorios, 2 Baños, Living Comedor, Cocina",2025-05-12,Publicado hace 1 año,UF,5.600,75 UF/m²,79 UF/m²,74 m²,74 m²,4 m²,,2,2,"Av. Sucre 600, Ñuñoa, Región Metropolitana, Chile, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",1,,,,,,,,,-33.4501429%2C-70.6215085
https://portalinmobiliario.com/MLC-1552397115-departamento-4-dorm-3-b-vista-al-lago-costanera-villarrica-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=4b1609f9-5172-4560-b9b7-86a08c58bb27,Departamento 4 Dorm 3 B Vista Al Lago Costanera Villarrica,2025-05-12,Publicado hace 1 año,UF,7.950,69 UF/m²,88 UF/m²,115 m²,115 m²,20 m²,,4,3,"Avenida Costanera - Aviador Acevedo, Villarrica, Araucanía, Chile, Centro de Villarrica, Villarrica, La Araucanía",1,1,,,1,Departamento,,15 años,,-39.283939%2C-72.2219392
https://portalinmobiliario.com/MLC-2853052840-estacionamiento-anos-50-67734-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=2534e690-b0b3-4af5-b801-066a93196f9e,Estacionamiento // Años 50 (67734),2025-05-12,Publicado hace 2 meses,UF,9.500,57 UF/m²,81 UF/m²,168 m²,164 m²,4 m²,,3,3,"Rafael Cañas 1 - 300, Providencia, Chile, Salvador, Providencia, RM (Metropolitana)",1,,7,2,6,Departamento,NP,75 años,,-33.4314936%2C-70.6235821
